Gard ID,identifiers,Number of Matches,QID,Match Gard ID
10163,OMIM:607656 | UMLS:C1843291,1,Q55783524 | ,True
1626,OMIM:176450 | ORPHANET:1552 | UMLS:C1531773,2,Q56013724 | Q5194974 | ,
5584,OMIM:601707 | ORPHANET:1553 | UMLS:C0795915,1,Q55783221 | ,True
1631,,0,,
6224,OMIM:219080 | ORPHANET:553,2,Q219102 | Q55781784 | ,
8158,UMLS:C0003177,1,Q18557581 | ,True
12428,ORPHANET:280779,1,Q55786929 | ,False
1629,,0,,
6225,UMLS:C0024137,1,Q18553226 | ,True
12687,ORPHANET:79455,1,Q7558253 | ,False
7842,ORPHANET:66646,1,Q18975562 | ,True
1633,OMIM:219095 | ORPHANET:2881 | UMLS:C1857449,1,Q55781786 | ,False
7415,UMLS:C0343190,1,Q55788201 | ,True
9752,,0,,
6226,UMLS:C0079773 | ORPHANET:171901,1,Q5196687 | ,True
12392,,0,,
1635,,0,,
6227,ORPHANET:209,1,Q2735907 | ,True
1637,,0,,
1639,OMIM:123700 | ORPHANET:90348,3,Q50349708 | Q50349696 | Q2735907 | ,
8480,OMIM:219100 | ORPHANET:90349 | UMLS:C2931134,2,Q50349701 | Q2735907 | ,
1638,OMIM:219200 | UMLS:C0268355,4,Q29982086 | Q50349700 | Q1200233 | Q2735907 | ,
1641,OMIM:612940,2,Q50349703 | Q2735907 | ,
6228,OMIM:219250 | ORPHANET:1556 | UMLS:C0345419,1,Q1997180 | ,True
1643,ORPHANET:671 | UMLS:C0263417,1,Q5196861 | ,True
1644,UMLS:C1857444,0,,
1646,,0,,
6229,OMIM:162800 | ORPHANET:2686 | UMLS:C0221023,1,Q5198214 | ,False
9862,OMIM:188020 | UMLS:C0272282,1,Q55781549 | ,True
9528,UMLS:C0343398,1,Q3008595 | ,True
11906,OMIM:160990 | ORPHANET:171886,1,Q21505531 | ,True
12346,,0,,
9487,OMIM:123853 | ORPHANET:2674 | UMLS:C1852396,1,Q55780466 | ,True
6232,UMLS:C0010668,1,Q246040 | ,False
11976,,0,,
6233,OMIM:219700 | ORPHANET:586,1,Q178194 | ,True
6234,OMIM:257350 | UMLS:C0206620,1,Q459896 | ,True
1654,OMIM:607086 | ORPHANET:229 | UMLS:C0392775,4,Q3616648 | Q5432930 | Q246048 | Q594660 | ,
8194,,0,,
6236,ORPHANET:213 | UMLS:C0010690 | OMIM:219800 | OMIM:219750 | OMIM:219900,4,Q55998573 | Q55998574 | Q1149042 | Q55998570 | ,
9756,OMIM:219750,2,Q1149042 | Q55998570 | ,
6237,OMIM:220100 | ORPHANET:214 | UMLS:C0010691,1,Q1149046 | ,True
3033,UMLS:C0311386,1,Q428447 | ,False
48,OMIM:220110 | UMLS:C0268237,1,Q18556069 | ,False
9529,,0,,
9530,,0,,
1657,,0,,
9531,UMLS:C0206178,1,Q4271835 | ,True
1658,,0,,
10220,OMIM:609162 | ORPHANET:137678 | UMLS:C1836683,1,Q55783645 | ,True
233,,0,,
5661,UMLS:C1833429 | ORPHANET:79315,1,Q18553318 | ,True
4539,OMIM:261515 | ORPHANET:300,1,Q5203306 | ,True
234,OMIM:220120 | ORPHANET:941 | UMLS:C1291386,1,Q5203266 | ,False
6240,,0,,
6241,,0,,
236,UMLS:C2931014,1,Q5208264 | ,True
237,OMIM:247410 | ORPHANET:1563 | UMLS:C1855477,1,Q17125068 | ,True
1666,OMIM:236660 | ORPHANET:2181 | UMLS:C1856051,1,Q55781947 | ,False
6242,OMIM:220200 | ORPHANET:217,1,Q733493 | ,True
4665,OMIM:267010 | UMLS:C2673885 | ORPHANET:3032,2,Q3508640 | Q50349687 | ,
5666,OMIM:220210 | ORPHANET:7 | UMLS:C0796137,3,Q26492786 | Q26492787 | Q2155008 | ,
8520,OMIM:304340 | ORPHANET:1568 | UMLS:C0796254,2,Q18411789 | Q28065605 | ,
137,UMLS:C2931823,0,,
1669,OMIM:220220 | ORPHANET:1566 | UMLS:C1857351,1,Q55781799 | ,False
1592,ORPHANET:1538 | OMIM:123155 | UMLS:C1852488,2,Q55345654 | Q193003 | ,
1671,OMIM:138790 | ORPHANET:2091 | UMLS:C1841853,1,Q55780823 | ,False
9730,OMIM:300257 | ORPHANET:34587 | UMLS:C0878677,1,Q5220984 | ,True
6243,OMIM:124200 | ORPHANET:218 | UMLS:C0022595,1,Q580506 | ,False
10568,OMIM:611733 | UMLS:C2673203,1,Q55783835 | ,True
1672,ORPHANET:3215 | UMLS:C2931076,0,,
12964,OMIM:610198 | ORPHANET:66634,1,Q27677576 | ,False
12398,OMIM:614507 | ORPHANET:300536,0,,
12715,OMIM:300958 ,0,,
49,OMIM:219150 | ORPHANET:2962 | UMLS:C0268354,3,Q50349709 | Q50349698 | Q2735907 | ,
8276,OMIM:278800 | ORPHANET:1569 | UMLS:C0265201,1,Q3843801 | ,True
13474,OMIM:617171 | OMIM:602635 | ORPHANET:468620,1,Q55785142 | ,False
12844,ORPHANET:363396 | OMIM:221200,1,Q17539935 | ,False
305,OMIM:221320 | ORPHANET:3236 | UMLS:C1857340,1,Q55781805 | ,False
1684,UMLS:C1852292,0,,
1686,UMLS:C1852278,0,,
1687,OMIM:234580 | ORPHANET:3220 | UMLS:C1856186,2,Q55346131 | Q55345705 | ,
1689,,0,,
1690,OMIM:311850 | UMLS:C2931079,0,,
1691,OMIM:304350 | ORPHANET:90646 | UMLS:C1844680,1,Q55782545 | ,True
1692,,0,,
1693,,0,,
1694,,0,,
1695,OMIM:107100 | UMLS:C2931080,1,Q55780334 | ,False
1698,OMIM:221740 | ORPHANET:3230 | UMLS:C1857333,1,Q55781809 | ,True
1701,,0,,
1702,,0,,
10707,OMIM:610706,1,Q55783760 | ,False
1707,,0,,
9726,OMIM:603622,1,Q28024676 | ,False
9167,OMIM:606346 | UMLS:C2931767,1,Q28024680 | ,False
1708,OMIM:605192 | UMLS:C2931768,1,Q28024681 | ,False
9166,OMIM:606282 | UMLS:C2931769,1,Q28024682 | ,True
9933,OMIM:601544 | UMLS:C2931770,1,Q28024692 | ,False
9934,OMIM:609965,1,Q28024708 | ,True
9918,OMIM:609941 | UMLS:C1864968,1,Q28024635 | ,False
9919,OMIM:609952 | UMLS:C1864962,1,Q28024637 | ,True
12472,OMIM:300475 | ORPHANET:369942,2,Q55999520 | Q55346032 | ,
1688,OMIM:601351 | ORPHANET:3218,1,Q55783092 | ,False
1709,,0,,
1710,,0,,
9935,OMIM:609946,1,Q28024631 | ,False
4504,OMIM:304400 | ORPHANET:383 | UMLS:C1844678,2,Q928697 | Q1555358 | ,
1715,,0,,
11911,OMIM:611102 | ORPHANET:94064,1,Q55783802 | ,True
13030,OMIM:614038 | ORPHANET:3226 | ICD 10:D46.7,2,Q55610804 | Q7307574 | ,
1720,,0,,
10516,OMIM:612852 | ORPHANET:210115 | UMLS:C2748507,1,Q5251548 | ,False
12315,OMIM:615273,1,Q28024539 | ,False
1722,ORPHANET:315 | UMLS:C0221011,1,Q22965430 | ,True
6249,OMIM:602248 | ORPHANET:679 | UMLS:C0221011,1,Q911136 | ,True
5623,OMIM:194380 | ORPHANET:3202 | UMLS:C0272051,2,Q55781621 | Q56014059 | ,
10676,OMIM:603528 | UMLS:C1863769,1,Q55781621 | ,True
1727,OMIM:155980 | UMLS:C1835030 | ORPHANET:3034,1,Q55781221 | ,True
1798,,0,,
1799,,0,,
8344,OMIM:176500 | UMLS:C1867773 | ORPHANET:97345,2,Q5432926 | Q50349602 | ,
9169,OMIM:117300 | UMLS:C1861735,1,Q50349603 | ,False
1802,,0,,
8317,UMLS:C1260325,1,Q5464657 | ,False
10934,OMIM:614172 | ORPHANET:228423,1,Q6901244 | ,False
6254,OMIM:614371 | ORPHANET:99828,2,Q56002926 | Q30953 | ,
290,OMIM:234100 | UMLS:C2931775,1,Q1459851 | ,False
10069,OMIM:125300 | UMLS:C1852250,1,Q55780482 | ,False
8555,OMIM:609814 | ORPHANET:93571,1,Q2299379 | ,False
13105,ORPHANET:1652,1,Q4420121 | ,True
5643,ORPHANET:101 | OMIM:125370,1,Q2280285 | ,True
1808,OMIM:125440 | ORPHANET:99792 | UMLS:C1852201,1,Q55780485 | ,False
1806,ORPHANET:99791 | OMIM:125420,1,Q5259533 | ,False
1807,OMIM:125400 | UMLS:C0399379 | ORPHANET:99789,1,Q5259533 | ,False
6258,UMLS:C0205730 | ORPHANET:49042,1,Q548984 | ,True
12796,ORPHANET:166260,0,,
10144,OMIM:125500 | UMLS:C0399378 | ORPHANET:166265,1,Q548984 | ,False
5576,OMIM:194080 | ORPHANET:220 | UMLS:C0950121,1,Q774016 | ,True
13299,,0,,
6260,UMLS:C0683416,1,Q2338307 | ,True
1810,OMIM:266255 | UMLS:C2931776,1,Q55782257 | ,True
10345,UMLS:C1305968,2,Q1200228 | Q245711 | ,
1917,OMIM:601230 | ORPHANET:1656 | UMLS:C0011608,1,Q1151507 | ,True
1812,,0,,
9569,OMIM:607907 | ORPHANET:31112 | UMLS:C0392784,1,Q1200239 | ,True
1813,OMIM:221790 | UMLS:C1857314,1,Q55781812 | ,True
6263,ORPHANET:221,1,Q681160 | ,True
1814,OMIM:221810 | ORPHANET:1657 | UMLS:C1857301,1,Q55781814 | ,True
8550,OMIM:125595 | ORPHANET:86920 | UMLS:C0406778,1,Q5262702 | ,True
2089,OMIM:225410 | ORPHANET:1901,1,Q55781854 | ,False
1815,OMIM:221800 | ORPHANET:79149 | UMLS:C0432288,1,Q51727258 | ,True
2580,OMIM:304730 | UMLS:C1844671,1,Q55782546 | ,True
1816,OMIM:125640 | ORPHANET:1660 | UMLS:C1852144,1,Q5262785 | ,True
1818,OMIM:251450 | ORPHANET:1425 | UMLS:C0432242 | OMIM:615777,1,Q17122800 | ,True
1820,OMIM:135290 | ORPHANET:873 | UMLS:C1851124,1,Q55950219 | ,False
9617,UMLS:C0457179,0,,
8648,UMLS:C1321878,0,,
6265,ORPHANET:83469 | UMLS:C0281508,1,Q5264831 | ,True
10283,OMIM:602398 | ORPHANET:35107 | UMLS:C1865596,1,Q5264836 | ,True
1823,UMLS:C1838630 | ORPHANET:1799,1,Q55782808 | ,True
10035,OMIM:610382,1,Q55783743 | ,False
10052,OMIM:610136 | UMLS:C1857830,1,Q55783728 | ,True
1827,UMLS:C0011813,1,Q579665 | ,True
6268,UMLS:C1395317,0,,
136,OMIM:221950 | UMLS:C1857298,1,Q55781815 | ,True
1697,OMIM:220290,2,Q18553310 | Q28024600 | ,
12415,,0,,
9750,UMLS:C0023440,0,,
259,OMIM:221995 | ORPHANET:3145,1,Q55781817 | ,True
1840,,0,,
8322,,0,,
6274,ORPHANET:124 | ICD 10:D61.0,2,Q9390252 | Q1208654 | ,
8283,OMIM:606129 | UMLS:C1853666,1,Q1208654 | ,False
10241,OMIM:610629 | UMLS:C1857719,1,Q1208654 | ,False
9797,OMIM:605233 | UMLS:C2931071,1,Q55783403 | ,False
1843,,0,,
13617,ICD 10:J98.6,0,,
1846,,0,,
1847,,0,,
10072,OMIM:112250 | ORPHANET:85182 | UMLS:C1862177,1,Q55780373 | ,False
6275,OMIM:222600 | ORPHANET:628,1,Q3335666 | ,True
1854,,0,,
1853,,0,,
1855,OMIM:222730 | ORPHANET:2195 | UMLS:C1857253,1,Q16252204 | ,True
10734,OMIM:601200,1,Q7204815 | ,False
1857,,0,,
1858,,0,,
6276,UMLS:C0342436 | ORPHANET:1672,1,Q25324193 | ,True
204,UMLS:C2931124,0,,
1859,ORPHANET:1916,1,Q2003840 | ,True
10930,,0,,
5907,UMLS:C0280785 | ORPHANET:251595,1,Q55786375 | ,False
10750,,0,,
12686,ORPHANET:79456,1,Q5275410 | ,True
9751,UMLS:C1258104 | ORPHANET:220393,1,Q18554846 | ,False
10888,,0,,
10334,OMIM:137215 | UMLS:C0206696,2,Q825923 | Q189588 | ,
10780,,0,,
13075,,0,,
3178,UMLS:C0079744 | ORPHANET:544,1,Q2626074 | ,True
3547,OMIM:256370 | UMLS:C0268747,2,Q55782142 | Q61913392 | ,
1861,UMLS:C0474965,0,,
1862,OMIM:600231 | UMLS:C1838359,1,Q55999597 | ,False
8526,OMIM:604809 | ORPHANET:171700 | UMLS:C0878555,1,Q3085380 | ,True
10409,,0,,
3263,UMLS:C0268193 | ORPHANET:2394 | OMIM:246900,1,Q402575 | ,False
4319,OMIM:261630 | ORPHANET:226,2,Q5958471 | Q54889362 | ,
12347,OMIM:222748 | ORPHANET:38874,1,Q55998576 | ,True
10666,UMLS:C0268120,1,Q4682223 | , has more than one gard id
221,ORPHANET:217604,1,Q283656 | ,True
3373,OMIM:212112 | ORPHANET:2229 | UMLS:C0796031,1,Q6744557 | ,False
12832,OMIM:613426,1,Q28024579 | ,True
1870,,0,,
1872,ORPHANET:227,1,Q1227139 | ,True
1873,,0,,
1874,,0,,
1875,UMLS:C0012546,1,Q134649 | ,True
10715,,0,,
1876,,0,,
10703,UMLS:C0268813,0,,
11908,ORPHANET:166291,1,Q443929 | ,True
12476,ORPHANET:309810,1,Q55787328 | ,True
12622,,0,,
12477,,0,,
1883,UMLS:C0263506,0,,
9236,,0,,
12843,ORPHANET:71274,1,Q18556975 | ,True
10983,ORPHANET:79152,1,Q5282749 | ,True
13028,,0,,
786,ORPHANET:97120,1,Q18553375 | ,True
787,OMIM:614335 | OMIM:108120 | ORPHANET:1146 | UMLS:C0220662,2,Q18553375 | Q56013702 | ,
4047,OMIM:108145 | ORPHANET:1154 | UMLS:C1862472,1,Q18553375 | ,False
13059,ORPHANET:329457 | OMIM:615065,1,Q18553375 | ,False
10087,OMIM:208080 | UMLS:C1859724,1,Q55781667 | ,False
10865,OMIM:601808,2,Q474237 | Q7252851 | ,
12683,ORPHANET:53739,1,Q55788392 | ,True
1887,OMIM:606070 | ORPHANET:600,4,Q18553729 | Q206901 | Q55346070 | Q1229345 | ,
1889,,0,,
12354,OMIM:611590,1,Q55999883 | ,False
1890,,0,,
1891,UMLS:C0040820,0,,
1894,OMIM:223340 | ORPHANET:3439 | UMLS:C1857226,1,Q55781826 | ,False
1895,,0,,
12653,,0,,
12393,OMIM:610768 | ORPHANET:91131,1,Q5289050 | ,False
1896,OMIM:119540,1,Q27677677 | ,True
2139,OMIM:131750 | ORPHANET:231568,3,Q3589131 | Q5290299 | Q29982049 | ,
11972,ORPHANET:98672,1,Q29982071 | ,False
1899,OMIM:222448 | ORPHANET:2143 | UMLS:C1857277,1,Q3508634 | ,True
1685,OMIM:220500 | UMLS:C1857345 | ORPHANET:79500,1,Q1154764 | ,True
9817,UMLS:C1851920 | ORPHANET:255,1,Q689777 | ,True
1903,OMIM:223360 | ORPHANET:230 | UMLS:C0342687,1,Q1242612 | ,True
10484,OMIM:613135 | ORPHANET:238455 | UMLS:C2751067,1,Q53951449 | ,True
9159,OMIM:300018,1,Q957751 | ,False
1905,UMLS:C0332941,0,,
1906,,0,,
9672,OMIM:126500 | UMLS:C1852023,1,Q4672539 | ,True
1907,UMLS:C0265809,1,Q55787735 | ,False
12321,,0,,
1908,UMLS:C0013069,1,Q361648 | ,True
1910,,0,,
9775,OMIM:179850 | UMLS:C0406811 | ORPHANET:79145,2,Q7316721 | Q7316720 | ,
6285,,0,,
1912,OMIM:126600,2,Q1140528 | Q28065548 | ,
9837,ORPHANET:86309 | OMIM:608093,0,,
9831,ORPHANET:79322 | OMIM:608799,0,,
12416,ORPHANET:329178 | OMIM:615042,0,,
12395,OMIM:612937 | ORPHANET:263494,0,,
1913,UMLS:C2930947,0,,
6286,,0,,
10430,OMIM:607208 | ORPHANET:33069 | UMLS:C0751122,1,Q1255956 | ,True
13629,ORPHANET:139402,1,Q3931183 | ,False
6288,ORPHANET:233,1,Q1262684 | ,False
10763,OMIM:126800 | ORPHANET:233,2,Q1262684 | Q56013641 | ,
9966,ORPHANET:233 | OMIM:604356 | UMLS:C0751083,1,Q1262684 | ,False
10691,ORPHANET:233 | OMIM:126800,2,Q1262684 | Q56013641 | ,
9182,OMIM:607323 | ORPHANET:93293 | UMLS:C1623209,1,Q2017218 | ,True
12908,,0,,
6289,OMIM:237500 | ORPHANET:234,1,Q1263039 | ,True
6290,OMIM:223370 | ORPHANET:235 | UMLS:C0175691,1,Q574741 | ,True
6291,OMIM:310200 | UMLS:C0013264 | ORPHANET:98896,1,Q1648484 | ,True
1918,UMLS:C2930993,0,,
54,OMIM:223400 | ORPHANET:1203,2,Q4597494 | Q1266401 | ,
1919,,0,,
10543,OMIM:162240 | UMLS:C1834232,1,Q55781276 | ,False
9743,OMIM:126840 | UMLS:C1852009,1,Q55780512 | ,True
9227,OMIM:606894 | UMLS:C1847196,1,Q55783482 | ,True
1976,,0,,
1977,,0,,
1975,ORPHANET:237 | UMLS:C0266348,1,Q51955112 | ,True
1983,,0,,
8280,OMIM:603656,0,,
1984,,0,,
1985,,0,,
10610,OMIM:600771 | UMLS:C1833341,1,Q55782870 | ,True
1986,,0,,
6294,OMIM:127100 | UMLS:C1851994,1,Q55780514 | ,True
1992,,0,,
3293,OMIM:223500 | UMLS:C1857197,1,Q55781832 | ,True
10606,OMIM:223550 | UMLS:C1857196,1,Q55781836 | ,True
6295,ORPHANET:239 | OMIM:223800 | OMIM:304950,1,Q1268671 | ,True
1993,OMIM:242520 | ORPHANET:2274 | UMLS:C1275088,1,Q55345709 | ,False
13527,ORPHANET:464306 | OMIM:614104,1,Q50349611 | ,False
9475,OMIM:224000 | UMLS:C1857153,1,Q55781838 | ,True
1994,OMIM:127350 | ORPHANET:1765 | UMLS:C1851986,1,Q55780516 | ,True
334,OMIM:127400 | ORPHANET:41 | UMLS:C0406775,1,Q5319366 | ,False
1996,OMIM:127500 | UMLS:C2930995 | ORPHANET:241,2,Q56014624 | Q5319369 | ,
10640,UMLS:C1266177,1,Q18555156 | ,True
1998,OMIM:224050 | ORPHANET:1766 | UMLS:C0394006,2,Q55346130 | Q4052543 | ,
2003,OMIM:603009 | UMLS:C2931687,1,Q14885337 | ,False
2004,OMIM:616004 | ORPHANET:98881,1,Q5319404 | ,True
9126,OMIM:202650 | UMLS:C1876185,1,Q3357668 | ,False
10905,ORPHANET:1775,1,Q3709312 | ,True
6299,OMIM:127550 | UMLS:C1851970,2,Q50349587 | Q3709312 | ,
6300,OMIM:224230 | UMLS:C1857144,1,Q50349588 | ,True
2007,OMIM:305000 | UMLS:C1148551,2,Q9390252 | Q50349598 | ,
2009,,0,,
2012,OMIM:224300 | ORPHANET:1782 | UMLS:C0432262,1,Q29014957 | ,True
2013,UMLS:C0265205,1,Q1475743 | ,False
2015,UMLS:C0220659 | ORPHANET:1795,2,Q18928518 | Q4357287 | ,
2019,OMIM:127800 | ORPHANET:1822 | UMLS:C0432282,1,Q7839508 | ,True
2022,,0,,
2025,ORPHANET:1804 | UMLS:C1832111,1,Q55783207 | ,True
9810,OMIM:224400 | ORPHANET:156731 | UMLS:C0432209,1,Q55781841 | ,True
2026,OMIM:224410 | ORPHANET:1865,1,Q30989968 | ,True
9256,OMIM:159700,1,Q55781258 | ,False
10059,OMIM:128000 | UMLS:C1851955,1,Q55780520 | ,True
2028,OMIM:224500 | ORPHANET:99657 | UMLS:C1857093,1,Q32038789 | ,False
2150,ORPHANET:303,1,Q56014008 | ,False
2031,,0,,
10667,OMIM:615073,1,Q30989665 | ,False
13671,OMIM:617284,1,Q55785174 | ,False
10539,OMIM:612067 | ORPHANET:210571 | UMLS:C2677567,1,Q32038811 | ,True
9630,OMIM:602629 | ORPHANET:98806 | UMLS:C1414216,1,Q32038792 | ,False
2027,OMIM:128100 | ORPHANET:256,3,Q28065536 | Q656199 | Q30988815 | ,
10138,OMIM:128101 | ORPHANET:98805 | UMLS:C1851943,1,Q32038800 | ,False
12144,ORPHANET:98808 | OMIM:128230,2,Q689777 | Q32038802 | ,
2032,,0,,
9401,UMLS:C1868714,0,,
6309,ORPHANET:40923 | UMLS:C0271073,1,Q3772316 | ,True
9255,ORPHANET:1934 | UMLS:C0393706,1,Q649602 | ,True
13318,OMIM:613722,2,Q3589156 | Q61913475 | ,
13676,OMIM:615476,1,Q61913425 | ,False
12901,OMIM:615905 | ORPHANET:442835,3,Q56014174 | Q55784807 | Q61913468 | ,
12391,OMIM:616056,2,Q61913477 | Q55784839 | ,
12900,OMIM:612164,1,Q61913449 | ,False
13681,OMIM:618004,1,Q55790909 | ,False
1140,ORPHANET:98988 | OMIM:601202,2,Q56014421 | Q27674897 | ,
12199,OMIM:614399,1,Q56002943 | ,False
3203,OMIM:311510 | ORPHANET:2379,1,Q55782601 | ,False
1898,OMIM:116800 | ORPHANET:98995 | UMLS:C0266537,1,Q27674895 | ,False
12798,ORPHANET:1020,1,Q55345929 | ,False
10821,ORPHANET:83594,1,Q18553951 | ,True
2035,UMLS:C0282687,2,Q51993 | Q162272 | ,
6313,OMIM:224700 | ORPHANET:1880 | UMLS:C0013481,1,Q277452 | ,True
6314,UMLS:C0026707,1,Q580285 | ,False
10465,UMLS:C0346020,0,,
7431,,0,,
6316,UMLS:C0013537,1,Q552348 | ,True
6317,UMLS:C0013575,0,,
2040,OMIM:129540 | UMLS:C2931691,1,Q55780532 | ,False
2042,,0,,
2043,,0,,
2044,,0,,
2045,,0,,
2051,,0,,
2050,,0,,
2053,UMLS:C1857068,1,Q55781844 | ,False
9705,OMIM:604536 | UMLS:C1858302 | ORPHANET:158668,1,Q7535394 | ,False
2055,OMIM:129510 | ORPHANET:1818 | UMLS:C1851858,1,Q55780530 | ,True
10526,OMIM:601345 | ORPHANET:69083 | UMLS:C1832444,1,Q55783066 | ,True
2682,OMIM:601375 | ORPHANET:1808 | UMLS:C1832411,1,Q55783101 | ,True
9939,OMIM:609944 | UMLS:C1864966,1,Q55783706 | ,True
2060,OMIM:225100 | UMLS:C2673634,2,Q50349815 | Q1827028 | ,
8490,OMIM:129750 | UMLS:C1271219,1,Q55780535 | ,False
6318,UMLS:C0032987,1,Q207087 | ,True
2063,UMLS:C2931127,0,,
2068,OMIM:225290 | UMLS:C1857040,1,Q55781848 | ,True
2071,OMIM:119580 | UMLS:C1861536 | ORPHANET:1997,3,Q60195342 | Q60195341 | Q17540023 | ,
2074,UMLS:C0795933,0,,
2076,UMLS:C0406704 | OMIM:129900 | OMIM:604292 | ORPHANET:1896,3,Q5334319 | Q28065588 | Q28065589 | ,
2078,OMIM:225280 | ORPHANET:1897 | UMLS:C1857041,1,Q5322931 | ,True
8291,OMIM:178800 | UMLS:C1867405,1,Q55781433 | ,True
8508,OMIM:225310 | ORPHANET:75501 | UMLS:C1857038,1,Q55781850 | ,False
6322,,0,,
2092,,0,,
6323,ORPHANET:97214 | UMLS:C0013743,1,Q572695 | ,True
12716,ORPHANET:228240,1,Q55786224 | ,True
10103,OMIM:130100 | ORPHANET:79148,1,Q5353584 | ,True
6324,,0,,
13013,,0,,
189,UMLS:C2931128,0,,
2098,OMIM:601355 | ORPHANET:2516 | UMLS:C2931129,1,Q55783095 | ,False
1301,OMIM:225500 | ORPHANET:289,1,Q1332448 | ,True
9835,OMIM:609029 | ORPHANET:96170 | UMLS:C1836929,1,Q5369177 | ,True
5140,ORPHANET:180226 | UMLS:C0206659,1,Q1451877 | ,True
8650,UMLS:C0855073,1,Q55779831 | ,False
6352,,0,,
2099,,0,,
6329,OMIM:310300 | ORPHANET:261,3,Q1335642 | Q43261065 | Q60195097 | ,
2101,,0,,
2102,OMIM:310300 | ORPHANET:98863,2,Q43261065 | Q60195097 | ,
6331,OMIM:130720 | UMLS:C0014008,2,Q1339466 | Q18589160 | ,
2106,,0,,
6332,ORPHANET:83600 | UMLS:C0014040,1,Q1369020 | ,False
6333,ORPHANET:199647,1,Q1346023 | ,False
2109,,0,,
2108,UMLS:C0406612 | OMIM:613001 | ORPHANET:2396,1,Q17540092 | ,True
12505,ORPHANET:139406 | OMIM:611721,1,Q55783834 | ,True
2113,OMIM:225755 | UMLS:C1856973,1,Q55781860 | ,True
2117,UMLS:C1851708,0,,
6335,UMLS:C1704356,1,Q1076078 | ,False
294,,0,,
10431,,0,,
6336,UMLS:C0014117,1,Q5376225 | , has more than one gard id
9270,,0,,
6339,UMLS:C0206630,1,Q5376363 | ,True
2121,UMLS:C0014117,1,Q5376225 | , has more than one gard id
6340,,0,,
2124,ORPHANET:2937,0,,
11909,,0,,
8651,UMLS:C1863752,0,,
6343,,0,,
9809,UMLS:C0456889,1,Q5380239 | ,True
12522,MeSH:D007412,1,Q54931334 | ,False
2130,,0,,
10969,ORPHANET:85438,1,Q55788665 | ,True
2131,ORPHANET:1939,0,,
12361,OMIM:261500,0,,
6345,UMLS:C0085179,1,Q3508806 | ,True
6346,,0,,
6347,UMLS:C0742965,0,,
9142,,0,,
6351,OMIM:226350 | ORPHANET:3165,1,Q2325206 | ,False
6111,ORPHANET:183,1,Q32811 | ,False
12130,,0,,
8534,UMLS:C0406305,0,,
6353,ORPHANET:251636,1,Q1346753 | ,True
2136,,0,,
6357,ORPHANET:302 | UMLS:C0014522 | OMIM:226400,1,Q974691 | ,True
13044,,0,,
2137,OMIM:226670 | ORPHANET:257,1,Q5382849 | ,True
6359,UMLS:C0014527,1,Q923020 | ,True
6360,ORPHANET:46487 | UMLS:C0079293,1,Q3726860 | ,True
10752,OMIM:131800 | OMIM:131900 | OMIM:131760 | OMIM:131960 | OMIM:601001 | ORPHANET:304,5,Q5382848 | Q5382846 | Q5532470 | Q6664623 | Q3124960 | ,
9737,OMIM:131960 | ORPHANET:79397 | UMLS:C0432316,1,Q5382848 | ,True
2141,OMIM:131760 | ORPHANET:79396 | UMLS:C0079295,1,Q5382846 | ,True
2147,OMIM:131900 | UMLS:C0079299,1,Q5532470 | ,True
2146,OMIM:131800 | ORPHANET:79400,1,Q6664623 | ,True
